CATEGORY,SUB CATEGORY,UNIT,DESIGNATION,NAME,VPN,MOBILE1,MOBILE2,STD,LANDLINE1,LANDLINE2, FAX,EMAIL,ADDRESS
CATEGORY,Police Head Quarters,General Numbers (EPABX),PHQ,,10019,,,0471,2721547,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),PHQ,,10020,,,0471,2729685,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),PHQ,,19010,,,0471,2724890,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),PHQ,,19011,,,0471,2722768,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),STATE POLICE CHIEF,,10000,9497999999,,0471,2721601,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),STATE POLICE CHIEF,,,,,0471,2721606,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),STATE POLICE CHIEF,,10001,,,0471,2726560,,2726560,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Chief Control Room,,,9497900999,,0471,2722500,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),Police Chief Control Room,,,"9497900286
",9497900296,,,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),ADGP [HQ],,10002,9497999900,,0471,2314440,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),IGP [HQ],,10005,9497998994,,0471,2318168,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),IGP [Admin],,,9497997998,,0471,2722002,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),DIG [HQ],,,,,0471,2726868,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),AIG,,10010,9497996999,,0471,2726945,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),AIG,,10010,,,0471,2726945,,2726945,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),AAIG,,10011,949796998,,0471,2722566,,,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),AAIG,,10011,,,0471,2722568,,2722568,,
CATEGORY,Police Head Quarters,General Numbers (EPABX),AIG (PG),,10012,9497996997,,0471,2721388,,,,
